id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
61878,MODERN LIVING AND FURNISHINGS,300211,Rita,,District 2,32.8169,-96.82018,Entire home/apt,80,30,45,2022-02-28,0.33,1,40,6,
247794,Private Room in North Dallas,78344,J. Yuriko,,District 10,32.88789,-96.7117,Private room,57,2,0,,,1,365,0,
776810,Goldies Bohemian Loft,4096626,Eric,,District 2,32.81462,-96.81586,Entire home/apt,75,5,29,2020-03-26,0.25,1,285,0,
795703,Amazing location walk to Downtown Dallas,4191322,Michelle,,District 14,32.80327,-96.80976,Entire home/apt,243,30,69,2021-11-19,0.62,1,270,1,
826118,Far North Dallas -- Blue Room,804559,Rod,,District 12,32.98825,-96.78926,Private room,54,2,17,2022-04-05,0.21,3,241,2,
826178,Far North Dallas -- Orange Room,804559,Rod,,District 12,32.98621,-96.78857,Private room,40,2,23,2020-01-31,0.22,3,25,0,
826201,Far North Dallas -- Gray Room,804559,Rod,,District 12,32.98853,-96.78903,Private room,54,2,22,2022-01-21,0.20,3,278,5,
860248,"Peaceful Home By the Lake: Safe, Cozy, Quiet",4505460,Judy,,District 9,32.85509,-96.70625,Private room,38,3,48,2022-04-08,0.70,3,39,16,
1056850,1928 VINTAGE OAK LAWN APTS SUITE 1,5821283,Kathy,,District 14,32.82181,-96.80816,Entire home/apt,95,2,125,2022-03-20,1.42,3,353,4,
1154424,"Uptown, Charming Studio 1B,Fast Free WiFi Parking",6063232,Joan,,District 14,32.818684,-96.790154,Entire home/apt,98,3,91,2022-01-03,0.84,12,360,5,
1158488,Cozy 1BD in Lower Greenville Ave,5037857,Marie,,District 14,32.81723,-96.76775,Entire home/apt,99,3,188,2022-01-29,1.75,1,311,18,
1223427,"Bright Studio 1A, Free  Fast WiFi Parking Cable",6063232,Joan,,District 14,32.818684,-96.790154,Entire home/apt,98,3,90,2021-11-02,0.84,12,357,2,
1277933,The Santa Fe Suite and Maxfield Parrish Suite,6904484,C. F. Sandy,,District 11,32.92449,-96.79062,Private room,65,1,32,2019-11-09,0.53,1,191,0,
1455406,Beautifully Furnished Condo-Addison,5881933,NatalieandItamar,,District 11,32.95481,-96.79989,Entire home/apt,99,30,12,2022-03-03,0.17,7,339,2,
1479800,Sunny/MStreet/SMU/Trendy Greenville/Private Bath,3809024,Holly,,District 14,32.83103,-96.7638,Private room,80,2,101,2022-02-26,0.96,3,0,5,
1488809,Vintage House Near Center of Dallas,7961670,Jill,,District 1,32.74566,-96.83436,Private room,55,1,705,2022-02-28,6.78,1,195,52,
